日期,时间,昵称,礼物,数量,金瓜子,UID
2022-02-04,23:07,阿健要飞飞飞飞喽つ,小心心,1,0,108684502
2022-02-04,23:07,阿健要飞飞飞飞喽つ,小心心,1,0,108684502
2022-02-04,23:07,阿健要飞飞飞飞喽つ,小心心,1,0,108684502
2022-02-04,23:07,阿健要飞飞飞飞喽つ,小心心,1,0,108684502
2022-02-04,23:07,阿健要飞飞飞飞喽つ,小心心,1,0,108684502
2022-02-04,23:07,阿健要飞飞飞飞喽つ,小心心,1,0,108684502
2022-02-04,23:07,阿健要飞飞飞飞喽つ,小心心,1,0,108684502
2022-02-04,23:07,阿健要飞飞飞飞喽つ,小心心,1,0,108684502
2022-02-04,23:07,阿健要飞飞飞飞喽つ,小心心,1,0,108684502
2022-02-04,23:07,阿健要飞飞飞飞喽つ,小心心,1,0,108684502
2022-02-04,23:07,阿健要飞飞飞飞喽つ,小心心,1,0,108684502
2022-02-04,23:07,阿健要飞飞飞飞喽つ,小心心,7,0,108684502
2022-02-06,21:48,q_mikkko_p,辣条,2,0,1836831902
2022-02-06,21:52,枯叶翎,小心心,1,0,27114374
2022-02-06,21:54,孤狼米尔,金币,1,1000,1507800962
2022-02-06,21:55,单推咪扣的夜雨,小心心,1,0,23249799
2022-02-06,21:55,单推咪扣的夜雨,小心心,1,0,23249799
2022-02-06,21:55,单推咪扣的夜雨,小心心,1,0,23249799
2022-02-06,21:55,单推咪扣的夜雨,小心心,1,0,23249799
2022-02-06,21:55,Dentist_耿,小心心,1,0,267415681
2022-02-06,21:55,Dentist_耿,小心心,1,0,267415681
2022-02-06,21:55,Dentist_耿,小心心,1,0,267415681
2022-02-06,21:55,Dentist_耿,小心心,1,0,267415681
2022-02-06,21:55,Dentist_耿,小心心,1,0,267415681
2022-02-06,21:56,Dentist_耿,小心心,1,0,267415681
2022-02-06,21:56,Dentist_耿,小心心,1,0,267415681
2022-02-06,21:56,Dentist_耿,小心心,1,0,267415681
2022-02-06,21:56,Dentist_耿,小心心,1,0,267415681
2022-02-06,21:56,Dentist_耿,小心心,1,0,267415681
2022-02-06,21:56,Dentist_耿,小心心,1,0,267415681
2022-02-06,21:56,Dentist_耿,小心心,1,0,267415681
2022-02-06,21:56,Dentist_耿,小心心,1,0,267415681
2022-02-06,21:56,Dentist_耿,小心心,1,0,267415681
2022-02-06,21:56,Dentist_耿,小心心,1,0,267415681
2022-02-06,21:56,Dentist_耿,小心心,1,0,267415681
2022-02-06,21:56,miko主人的x,新春快乐,233,23300,12555321
2022-02-06,21:56,猫丶白丶真白,红灯笼,1,1000,257790746
2022-02-06,21:57,猫丶白丶真白,心动卡,1,100,257790746
2022-02-06,21:57,猫丶白丶真白,心动卡,1,100,257790746
2022-02-06,21:57,猫丶白丶真白,心动卡,1,100,257790746
